CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASLGETREUR	IFRC VNX ALL-SHARE LARGE EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGETRJPY	IFRC VNX ALL-SHARE LARGE EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGETRUSD	IFRC VNX ALL-SHARE LARGE EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGTREUR	IFRC VNX ALL-SHARE LARGE TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGTRJPY	IFRC VNX ALL-SHARE LARGE TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGTRUSD	IFRC VNX ALL-SHARE LARGE TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDPREUR	IFRC VNX ALL-SHARE MID (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDPRJPY	IFRC VNX ALL-SHARE MID (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDPRUSD	IFRC VNX ALL-SHARE MID (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDEPREUR	IFRC VNX ALL-SHARE MID EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDEPRJPY	IFRC VNX ALL-SHARE MID EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDEPRUSD	IFRC VNX ALL-SHARE MID EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDETREUR	IFRC VNX ALL-SHARE MID EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDETRJPY	IFRC VNX ALL-SHARE MID EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDETRUSD	IFRC VNX ALL-SHARE MID EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDTREUR	IFRC VNX ALL-SHARE MID TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDTRJPY	IFRC VNX ALL-SHARE MID TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Size
